,cv_mean_r2,cv_std_r2,accuracy,R2,MSE,RMSE,MAE,training_time
GradientBoostingRegressor,0.875481844662317,0.01835834798863031,0.8870777146239124,0.8870777146239124,0.07554571605314646,0.27485580956775585,0.21872318667792023,0.17447376251220703
BaggingRegressor,0.8971299245768852,0.01861707060606437,0.9032490322640594,0.9032490322640594,0.06472700328463495,0.2544150217354214,0.20340774786315519,0.03523373603820801
RandomForestRegressor,0.8349032301523094,0.024743768896279498,0.8350362891781837,0.8350362891781837,0.1103617555676686,0.3322073984240396,0.26462380062685714,0.7460219860076904
VotingRegressor,0.818230816290417,0.12723209086555948,0.207639733097846,0.207639733097846,0.5300939804381721,0.7280755320968918,0.6177750425463979,0.16506457328796387
AdaBoostRegressor,0.771737977727509,0.03241492281949482,0.7776082301188565,0.7776082301188565,0.148781486701608,0.38572203294809077,0.30828914813658354,0.11484217643737793
StackingRegressor,0.8965667164100786,0.018582384172821497,0.8696433703993596,0.8696433703993596,0.08720940151589028,0.2953123795506891,0.23886257409809014,0.4307589530944824
