,cv_mean_r2,cv_std_r2,accuracy,R2,MSE,RMSE,MAE,training_time,best_params
LinearRegression,0.8972381379208023,0.0,0.9044620040318833,0.9044620040318833,0.06391551757614684,0.2528151846233664,0.20167585922139608,2.033217430114746,{}
Ridge,0.8972647113925643,0.0,0.9044298839166318,0.9044298839166318,0.06393700613439117,0.25285767960335154,0.20173534294866857,0.8016479015350342,{'regressor__alpha': 3.5}
BayesianRidge,0.897248565220732,2.9329871864547385e-11,0.9044566121865165,0.9044566121865165,0.06391912475446179,0.2528223185449849,0.20169211523149974,0.13980865478515625,"{'regressor__alpha_1': 1.5e-05, 'regressor__alpha_2': 1.5e-05, 'regressor__lambda_1': 1.0, 'regressor__lambda_2': 1e-10, 'regressor__max_iter': 1, 'regressor__tol': 0.00012}"
HuberRegressor,0.8973155917665003,0.0,0.9043807560123129,0.9043807560123129,0.06396987301002685,0.2529226621124071,0.20161126741043248,0.2433168888092041,"{'regressor__alpha': 0.7, 'regressor__epsilon': 1.7, 'regressor__max_iter': 550, 'regressor__tol': 1e-08}"
BaggingRegressor,0.8973410819364933,0.0,0.9044274165763373,0.9044274165763373,0.06393865680049905,0.25286094360438316,0.20182835204913507,0.6703002452850342,"{'regressor__max_features': 1.0, 'regressor__max_samples': 0.5, 'regressor__n_estimators': 80}"
