,cv_mean_r2,cv_std_r2,accuracy,R2,MSE,RMSE,MAE,training_time,best_params
basic_MLP,0.8648776034288295,0.0191276570813587,0.850222146154211,0.850222146154211,0.10020232215455784,0.3165475037882274,0.25258255157331255,0.9584100246429443,
gridsearch_MLP,0.8040848100685523,0.1918972596372002,0.9032934822318136,0.9032934822318136,0.06469726597785488,0.2543565725076804,0.20261171565043304,2670.3724327087402,"{'activation': 'relu', 'hidden_layer_sizes': (32,), 'learning_rate_init': 0.001, 'max_iter': 800, 'solver': 'lbfgs'}"
