,cv_mean_r2,cv_std_r2,accuracy,R2,MSE,RMSE,MAE,training_time,best_params
LinearRegression,0.8972381379208023,0.0,0.9044620040318833,0.9044620040318833,0.06391551757614684,0.2528151846233664,0.20167585922139608,2.0878098011016846,{}
Ridge,0.8972569252249448,1.196017329700818e-06,0.9044511673619634,0.9044511673619634,0.06392276737618412,0.25282952235881023,0.20170260994621042,0.8777835369110107,{'regressor__alpha': 1.8}
BayesianRidge,0.8972473433749888,7.785249547050918e-11,0.904457758094957,0.904457758094957,0.06391835813453925,0.25282080241653226,0.20168938542540027,57.5581111907959,"{'regressor__alpha_1': 5e-06, 'regressor__alpha_2': 1.5e-05, 'regressor__lambda_1': 0.0003, 'regressor__lambda_2': 1e-10, 'regressor__max_iter': 350, 'regressor__tol': 0.00012}"
HuberRegressor,0.8972423108981674,6.384857895072605e-05,0.9043807560123129,0.9043807560123129,0.06396987301002685,0.2529226621124071,0.20161126741043248,19.264019012451172,"{'regressor__alpha': 0.7, 'regressor__epsilon': 1.7, 'regressor__max_iter': 490, 'regressor__tol': 2e-07}"
BaggingRegressor,0.8973250835933241,1.1283499646626955e-05,0.9044274165763373,0.9044274165763373,0.06393865680049905,0.25286094360438316,0.20182835204913507,3.0139496326446533,"{'regressor__max_features': 1.0, 'regressor__max_samples': 0.5, 'regressor__n_estimators': 80}"
