,cv_mean_r2,cv_std_r2,accuracy,R2,MSE,RMSE,MAE,training_time,best_params
LinearRegression,0.8972381379208023,0.0,0.9044620040318833,0.9044620040318833,0.06391551757614684,0.2528151846233664,0.20167585922139608,1.7941310405731201,{}
Ridge,0.8972534843275671,1.4201025372196616e-06,0.9044546338580609,0.9044546338580609,0.0639204482685872,0.25282493601025036,0.20169630480901385,0.6999163627624512,{'regressor__alpha': 1.4}
BayesianRidge,0.8972473432453646,5.273695750263545e-11,0.904457758259337,0.904457758259337,0.06391835802456795,0.2528208021990436,0.2016893850133887,11.580588579177856,"{'regressor__alpha_1': 5e-06, 'regressor__alpha_2': 1.5e-05, 'regressor__lambda_1': 0.00015, 'regressor__lambda_2': 1e-09, 'regressor__max_iter': 450, 'regressor__tol': 0.0001}"
HuberRegressor,0.8971721630363828,6.271603320891286e-05,0.9043807560123129,0.9043807560123129,0.06396987301002685,0.2529226621124071,0.20161126741043248,34.81224846839905,"{'regressor__alpha': 0.7, 'regressor__epsilon': 1.7, 'regressor__max_iter': 500, 'regressor__tol': 5e-07}"
RandomForestRegressor,,,0.834876003401073,0.834876003401073,0.11046898775628959,0.3323687526773382,0.26433356146257775,81.90363430976868,"{'regressor__max_depth': 20, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 3, 'regressor__n_estimators': 110}"
GradientBoostingRegressor,0.8869061279066763,0.0032055199554124948,0.8931775111510898,0.8931775111510898,0.07146491397861023,0.2673292239516851,0.2128797536304418,693.2872080802917,"{'regressor__learning_rate': 0.06, 'regressor__max_depth': 4, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 10, 'regressor__n_estimators': 220, 'regressor__subsample': 0.55}"
BaggingRegressor,0.8972955638180464,1.8327092109467114e-05,0.9044355398689378,0.9044355398689378,0.06393322226688,0.2528501972846373,0.20180867688112122,5.782495975494385,"{'regressor__max_features': 1.0, 'regressor__max_samples': 0.5, 'regressor__n_estimators': 90}"
AdaBoostRegressor,0.7855327417552029,0.002782852097723682,0.8014233880267576,0.8014233880267576,0.13284899692707736,0.3644845633591049,0.2889882454887443,23.399943828582764,"{'regressor__learning_rate': 0.35, 'regressor__n_estimators': 320}"
