,cv_mean_r2,cv_std_r2,accuracy,R2,MSE,RMSE,MAE,training_time,best_params
LinearRegression,0.8972381379208023,0.0,0.9044620040318833,0.9044620040318833,0.06391551757614684,0.2528151846233664,0.20167585922139608,2.1719274520874023,{}
Ridge,0.8972647113925643,0.0,0.9044298839166318,0.9044298839166318,0.06393700613439117,0.25285767960335154,0.20173534294866857,0.8069620132446289,{'regressor__alpha': 3.5}
BayesianRidge,0.8972473469259983,5.2546451422352655e-09,0.9044577474604633,0.9044577474604633,0.06391836524908213,0.2528208164868592,0.20168941206650604,0.2613039016723633,"{'regressor__alpha_1': 1.5e-05, 'regressor__alpha_2': 1.5e-05, 'regressor__lambda_1': 0.01, 'regressor__lambda_2': 1e-10, 'regressor__max_iter': 100, 'regressor__tol': 0.00012}"
HuberRegressor,0.8972487402789637,6.765901519434347e-05,0.9043807560123129,0.9043807560123129,0.06396987301002685,0.2529226621124071,0.20161126741043248,1.6713390350341797,"{'regressor__alpha': 0.7, 'regressor__epsilon': 1.7, 'regressor__max_iter': 490, 'regressor__tol': 1e-08}"
BaggingRegressor,0.8973410819364933,0.0,0.9044274165763373,0.9044274165763373,0.06393865680049905,0.25286094360438316,0.20182835204913507,1.042618989944458,"{'regressor__max_features': 1.0, 'regressor__max_samples': 0.5, 'regressor__n_estimators': 80}"
